"Protein numbers (Bouchnak et al., Mol Cell Proteomics 2019) "	TAIR AGI	"Simplified location AT_CHLORO (Ferro et al., 2010)"	"Simplified location (Bouchnak et al., Mol Cell Proteomics 2019) "
527	AT3G53610	nd	OTH-ERGV?
528	AT1G09630	nd	OTH-ERGV?
529	AT1G52280	nd	OTH-ERGV?
530	AT3G18820	nd	OTH-ERGV?
531	AT2G20990	nd	OTH-ERGV?
532	AT1G07670	nd	OTH-ERGV?
533	AT3G10260	nd	OTH-ERGV?
534	AT1G10950	nd	OTH-ERGV
535	AT5G10840	nd	OTH-ERGV
536	AT4G12650	nd	OTH-ERGV
537	AT3G54840	nd	OTH-ERGV
538	AT3G56190	nd	OTH-ERGV?
539	AT1G23490	nd	OTH-ERGV
540	AT3G49870	nd	OTH-ERGV?
541	AT3G09840	nd	OTH-ERGV?
542	AT2G20760	nd	OTH-ERGV?
543	AT3G11130	nd	OTH-ERGV?
544	AT5G42080	nd	OTH-ERGV?
545	AT1G59610	nd	OTH-ERGV?
546	AT2G14120	nd	OTH-ERGV?
547	AT3G60190	nd	OTH-ERGV?
548	AT5G25250	nd	OTH-ERGV?
549	AT4G04910	nd	OTH-ERGV?
550	AT4G33625	nd	OTH-ERGV?
551	AT3G13870	nd	OTH-ERGV?
552	AT4G11220	nd	OTH-ERGV?
553	AT4G34450	nd	OTH-ERGV?
554	AT4G32150	nd	OTH-ERGV?
555	AT5G11150	nd	OTH-ERGV?
556	AT1G04750	nd	OTH-ERGV?
557	AT5G39510	nd	OTH-ERGV?
558	AT2G38020	nd	OTH-ERGV?
559	AT5G67560	nd	OTH-ERGV?
560	AT5G04990	nd	OTH-ERGV
561	AT3G11820	nd	OTH-ERGV?
562	AT1G72150	ENV	OTH-ERGV?
563	AT1G22850	nd	OTH-ERGV?
564	AT3G50380	nd	OTH-ERGV?
565	AT3G54860	nd	OTH-ERGV?
566	AT1G08190	nd	OTH-ERGV
567	AT1G73650	nd	OTH-ERGV?
568	AT4G22690	nd	OTH-ERGV
569	AT2G24180	nd	OTH-ERGV?
570	AT1G65820	nd	OTH-ERGV?
571	AT4G17140	nd	OTH-ERGV?
572	AT2G32240	nd	OTH-ERGV
573	AT5G11560	nd	OTH-ERGV?
			
574	AT4G33090	THY	OTH-CYT
575	AT2G16600	nd	OTH-CYT
576	AT5G12140	nd	OTH-CYT
577	AT3G09440	ENV-STR	OTH-CYT
578	AT5G56030	nd	OTH-CYT
579	AT2G24200	STR	OTH-CYT
580	AT3G22110	nd	OTH-CYT
581	AT1G47250	nd	OTH-CYT
582	AT4G31300	nd	OTH-CYT
583	AT4G24820	nd	OTH-CYT
584	AT4G34870	nd	OTH-CYT
585	AT1G24510	nd	OTH-CYT
586	AT5G09810	STR-ENV	OTH-CYT
587	AT1G64330	nd	OTH-CYT
588	AT5G19770	nd	OTH-CYT
589	AT5G62690	nd	OTH-CYT
590	AT3G16640	nd	OTH-CYT
591	AT4G09320	ENV	OTH-CYT
592	AT3G16470	n/a	OTH-CYT
593	AT4G14880	STR	OTH-CYT
594	AT1G65960	nd	OTH-CYT
595	AT4G13940	STR	OTH-CYT
596	AT5G17920	STR	OTH-CYT
597	AT3G03780	nd	OTH-CYT
598	AT1G70410	nd	OTH-CYT
599	AT2G40840	nd	OTH-CYT
600	AT2G36530	STR	OTH-CYT
