Cysteine desulfurase	Cysteine desulfurase	"(EC 2.8.1.7), SufS subfamily"
Cysteine synthase	Cysteine synthase	(EC 2.5.1.47)
Cytochrome b559	Cytochrome b559 alpha chain (PsbE)	
Cytochrome b559	Cytochrome b559 beta chain (PsbF)	
Cytochrome b6-f	Cytochrome b6-f complex alternative Rieske iron sulfur protein PetC2	
Cytochrome b6-f	Cytochrome b6-f complex alternative Rieske iron sulfur protein PetC3	
Cytochrome b6-f	Cytochrome b6-f complex iron-sulfur subunit PetC1 (Rieske iron sulfur protein EC 1.10.9.1)	
Cytochrome b6-f	Cytochrome b6-f complex subunit IV (PetD)	
Cytochrome b6-f	Cytochrome b6-f complex subunit V (PetG)	
Cytochrome b6-f	Cytochrome b6-f complex subunit VII (PetM)	
Cytochrome b6-f	"Cytochrome b6-f complex subunit, apocytochrome f"	
Cytochrome b6-f	"Cytochrome b6-f complex subunit, cytochrome b6"	
Cytochrome b6-f	"Cytochrome b6-f complex subunit, cytochrome b6, putative"	
Cytochrome c oxidase	Cytochrome c oxidase polypeptide I	(EC 1.9.3.1)
Cytochrome c oxidase	Cytochrome c oxidase polypeptide II	(EC 1.9.3.1)
Cytochrome c oxidase	Cytochrome c oxidase polypeptide III	(EC 1.9.3.1)
Cytochrome c oxidase	Cytochrome c oxidase subunit 5a	
Cytochrome c oxidase	Cytochrome c oxidase subunit 5b	
Cytochrome c oxidase	Cytochrome c oxidase subunit 6a	
Cytochrome c oxidase	Cytochrome c oxidase subunit 6b	
Cytochrome c oxidase	"Cytochrome c oxidase, subunit IV"	(EC 1.9.3.1)
D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase	(EC 1.1.1.95)
D-glycerate 3-kinase	D-glycerate 3-kinase	"(EC 2.7.1.31), plant type"
D-serine dehydratase	D-serine dehydratase	(EC 4.3.1.18)
Delta-1-pyrroline-5-carboxylate dehydrogenase	Delta-1-pyrroline-5-carboxylate dehydrogenase	(EC 1.5.1.12)
Delta-8-sphingolipid desaturase	Delta-8-sphingolipid desaturase	(EC 1.14.19.4)
Demethylphylloquinone methyltransferase	Demethylphylloquinone methyltransferase	(EC 2.1.1.329)
Deoxycytidine monophosphate deaminase	Deoxycytidine monophosphate deaminase	(EC 3.5.4.12)
Deoxyuridine 5'-triphosphate nucleotidohydrolase	Deoxyuridine 5'-triphosphate nucleotidohydrolase	(EC 3.6.1.23)
Dephospho-CoA kinase	Dephospho-CoA kinase	(EC 2.7.1.24)
Desulfoglucosinolate sulfotransferase	Desulfoglucosinolate sulfotransferase	(EC 2.8.2.-)
Dethiobiotin synthetase	Dethiobiotin synthetase	(EC 6.3.3.3)
Diacylglycerol O-acyltransferase	Diacylglycerol O-acyltransferase	(EC 2.3.1.20)
Diacylglycerol cholinephosphotransferase	Diacylglycerol cholinephosphotransferase	(EC 2.7.8.2)
Diaminohydroxyphosphoribosylaminopyrimidine deaminase	Diaminohydroxyphosphoribosylaminopyrimidine deaminase	(EC 3.5.4.26)
Diaminopimelate decarboxylase	Diaminopimelate decarboxylase	(EC 4.1.1.20)
Diaminopimelate epimerase	Diaminopimelate epimerase	(EC 5.1.1.7)
Digalactosyldiacylglycerol synthase	Digalactosyldiacylglycerol synthase	(EC 2.4.1.241)
Dihydrofolate reductase	Dihydrofolate reductase	(EC 1.5.1.3)
Dihydrofolate synthase	Dihydrofolate synthase	(EC 6.3.2.12)
Pyruvate dehydrogenase	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	(EC 2.3.1.12)
Branched-chain alpha-keto acid dehydrogenase	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex	(EC 2.3.1.168)
2-oxoglutarate dehydrogenase	Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase	(EC 1.8.1.4)
Branched-chain alpha-keto acid dehydrogenase	Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase	(EC 1.8.1.4)
Glycine cleavage system	"Dihydrolipoamide dehydrogenase of glycine cleavage system, L protein"	(EC 1.8.1.4)
Pyruvate dehydrogenase	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex	(EC 1.8.1.4)
2-oxoglutarate dehydrogenase	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex	(EC 2.3.1.61)
Dihydroneopterin aldolase	Dihydroneopterin aldolase	(EC 4.1.2.25)
Dihydroneopterin monophosphate phosphatase	Dihydroneopterin monophosphate phosphatase (non-specific?)	
Dihydroneopterin triphosphate diphosphatase	Dihydroneopterin triphosphate diphosphatase	(EC 3.6.1.n4)
Dihydroorotase	Dihydroorotase	(EC 3.5.2.3)
Dihydroorotate dehydrogenase	Dihydroorotate dehydrogenase [quinone]	(EC 1.3.5.2)
Dihydropteroate synthase	Dihydropteroate synthase	(EC 2.5.1.15)
Dihydropyrimidinase	Dihydropyrimidinase	(EC 3.5.2.2)
Dihydropyrimidine dehydrogenase	Dihydropyrimidine dehydrogenase	(EC 1.3.1.2)
Dihydrosphingosine delta-4 desaturase	Dihydrosphingosine delta-4 desaturase	(EC 1.14.99.-)
Dihydroxy-acid dehydratase	Dihydroxy-acid dehydratase	(EC 4.2.1.9)
Diphosphomevalonate decarboxylase	Diphosphomevalonate decarboxylase	(EC 4.1.1.33)
Divinyl (proto)chlorophyllide a 8-vinyl-reductase	Divinyl (proto)chlorophyllide a 8-vinyl-reductase	(EC 1.3.1.75)
"Endo-1,4-beta-xylanase A precursor"	"Endo-1,4-beta-xylanase A precursor"	(EC 3.2.1.8)
Enolase	Enolase	(EC 4.2.1.11)
Enoyl-[acyl-carrier-protein] reductase	Enoyl-[acyl-carrier-protein] reductase [NADH]	(EC 1.3.1.9)
Epoxide hydrolase	Epoxide hydrolase	(EC 3.3.2.-)
Ethanolamine N-methyltransferase	"Ethanolamine N-methyltransferase, free-base-specific"	(EC 2.1.1.-)
Ethanolamine kinase	Ethanolamine kinase	(EC 2.7.1.82)
Ethanolamine-phosphate cytidylyltransferase	Ethanolamine-phosphate cytidylyltransferase	(EC 2.7.7.14)
Ethanolaminephosphotransferase	Ethanolaminephosphotransferase	(EC 2.7.8.1)
"Extradiol ring-cleavage dioxygenase [caffealdehyde, other]"	"Extradiol ring-cleavage dioxygenase [caffealdehyde, other]"	(EC 1.13.-.-)
